training_method,metric,seed_i,seed_j,spearman_rank_correlation
heun,extrapolate_mse,0,1,-0.6
heun,extrapolate_mse,0,2,-0.09999999999999999
heun,extrapolate_mse,0,3,0.6
heun,extrapolate_mse,0,4,-0.49999999999999994
heun,extrapolate_mse,1,2,0.3
heun,extrapolate_mse,1,3,-0.9999999999999999
heun,extrapolate_mse,1,4,0.7
heun,extrapolate_mse,2,3,-0.3
heun,extrapolate_mse,2,4,0.19999999999999998
heun,extrapolate_mse,3,4,-0.7
heun,extrapolate_mse,mean_pairwise,mean_pairwise,-0.13999999999999999
rk4,extrapolate_mse,0,1,-0.49999999999999994
rk4,extrapolate_mse,0,2,-0.3
rk4,extrapolate_mse,0,3,-0.6
rk4,extrapolate_mse,0,4,0.19999999999999998
rk4,extrapolate_mse,1,2,0.8999999999999998
rk4,extrapolate_mse,1,3,0.3
rk4,extrapolate_mse,1,4,-0.09999999999999999
rk4,extrapolate_mse,2,3,-0.09999999999999999
rk4,extrapolate_mse,2,4,0.3
rk4,extrapolate_mse,3,4,-0.8999999999999998
rk4,extrapolate_mse,mean_pairwise,mean_pairwise,-0.08
