training_method,seed,metric,best_ratio,best_value,ratio_ranking_low_to_high_error,values_by_ratio
heun,0,final_mse,16,0.0014551170738408019,16;4;8;1;2,1:0.0143631349164;2:0.0165058411744;4:0.0016363705006;8:0.00733312783205;16:0.00145511707384
heun,1,final_mse,1,0.0006522357606824728,1;2;4;16;8,1:0.000652235760682;2:0.00106869585249;4:0.00224987922217;8:0.00496798623519;16:0.0030215293892
heun,2,final_mse,4,0.013035742255316599,4;1;8;2;16,1:0.020800424103;2:0.0308899826837;4:0.0130357422553;8:0.0285149756998;16:0.0320497394838
heun,3,final_mse,2,0.0012924875599217031,2;16;8;1;4,1:0.00198461679024;2:0.00129248755992;4:0.00228335402316;8:0.00187159401019;16:0.00176585181173
heun,4,final_mse,2,0.0023014068317676398,2;1;4;16;8,1:0.0199356965275;2:0.00230140683177;4:0.0204743340003;8:0.0302954886584;16:0.022330766906
rk4,0,final_mse,16,0.0013053898261675982,16;4;1;2;8,1:0.00463079917742;2:0.0121115461436;4:0.00139236063787;8:0.0155542680652;16:0.00130538982617
rk4,1,final_mse,4,0.0012137108930781744,4;8;1;2;16,1:0.00132164999211;2:0.00297797774748;4:0.00121371089308;8:0.0013197972634;16:0.0124613547443
rk4,2,final_mse,8,0.010252809215099397,8;1;4;16;2,1:0.0168929057368;2:0.0300573881331;4:0.0230056520122;8:0.0102528092151;16:0.0251184450478
rk4,3,final_mse,4,0.0011875400623273973,4;2;8;1;16,1:0.00449667027529;2:0.00170023972259;4:0.00118754006233;8:0.00187530904056;16:0.00534118833616
rk4,4,final_mse,16,0.014182100892305618,16;1;8;4;2,1:0.0143964838704;2:0.0284096031402;4:0.0204367365493;8:0.0181214711982;16:0.0141821008923
