experiment_kind,training_method,prediction_method,ratio,predict_ratio,h_model,h_predict,noise_level,best_loss,train_mse,validation_mse,extrapolate_mse,residual_mse,residual_rel_error,model_vf_mse,model_vf_rel_error,instability_rate,final_mse,final_l2_error
true_rhs_baseline,none,forward_euler,N/A,1,N/A,0.05,0.0,N/A,1.9576351717931089,N/A,6.079043461689846,N/A,N/A,N/A,N/A,0.0,3.7446430893429685,7.740432121625219
true_rhs_baseline,none,forward_euler,N/A,2,N/A,0.025,0.0,N/A,0.48115516382938067,N/A,1.2768677237938064,N/A,N/A,N/A,N/A,0.0,0.6972968444902595,3.340172078178631
true_rhs_baseline,none,forward_euler,N/A,4,N/A,0.0125,0.0,N/A,0.11909700918943504,N/A,0.29348966424419026,N/A,N/A,N/A,N/A,0.0,0.15096296553557678,1.554158115691331
true_rhs_baseline,none,forward_euler,N/A,8,N/A,0.00625,0.0,N/A,0.02961563950374001,N/A,0.07040614002398358,N/A,N/A,N/A,N/A,0.0,0.035159605610869255,0.7500357923285449
true_rhs_baseline,none,heun,N/A,1,N/A,0.05,0.0,N/A,3.4887000886758765e-05,N/A,0.0005402374147826409,N/A,N/A,N/A,N/A,0.0,0.00044828552582924314,0.08469101731156552
true_rhs_baseline,none,heun,N/A,2,N/A,0.025,0.0,N/A,2.2379893093821797e-06,N/A,3.374132208185495e-05,N/A,N/A,N/A,N/A,0.0,2.8372060898341873e-05,0.02130617221308112
true_rhs_baseline,none,heun,N/A,4,N/A,0.0125,0.0,N/A,1.416942759813679e-07,N/A,2.1071181743070767e-06,N/A,N/A,N/A,N/A,0.0,1.7840171582635153e-06,0.0053426842066714225
true_rhs_baseline,none,heun,N/A,8,N/A,0.00625,0.0,N/A,8.91313673614688e-09,N/A,1.3162533148643966e-07,N/A,N/A,N/A,N/A,0.0,1.1183038598240012e-07,0.001337642020765796
true_rhs_baseline,none,rk4,N/A,1,N/A,0.05,0.0,N/A,7.23744957104549e-12,N/A,3.462908396813699e-11,N/A,N/A,N/A,N/A,0.0,1.7479691670546865e-11,1.672348847366332e-05
true_rhs_baseline,none,rk4,N/A,2,N/A,0.025,0.0,N/A,2.8226541147815505e-14,N/A,1.3466376347689407e-13,N/A,N/A,N/A,N/A,0.0,6.863875417609013e-14,1.047959954777587e-06
true_rhs_baseline,none,rk4,N/A,4,N/A,0.0125,0.0,N/A,1.103104945157198e-16,N/A,5.249727734679861e-16,N/A,N/A,N/A,N/A,0.0,2.6887912911259627e-16,6.559013695519732e-08
true_rhs_baseline,none,rk4,N/A,8,N/A,0.00625,0.0,N/A,4.376848704889327e-19,N/A,2.0583503308859205e-18,N/A,N/A,N/A,N/A,0.0,1.0604267680461236e-18,4.1190810005070275e-09
