group,x_metric,y_metric,n,correlation
all,best_loss,extrapolate_mse,10,0.9800628836310026
all,best_loss,final_mse,10,0.9720625256688692
all,residual_mean_abs,extrapolate_mse,10,0.8509728702433009
all,residual_l2_norm,extrapolate_mse,10,-0.7865032195189761
all,residual_rms,extrapolate_mse,10,-0.786503219518855
all,best_epoch,extrapolate_mse,10,-0.7666709137769417
heun,best_loss,extrapolate_mse,5,0.9806436755324814
heun,best_loss,final_mse,5,0.9567481749601444
heun,residual_mean_abs,extrapolate_mse,5,0.8131575428786615
heun,residual_l2_norm,extrapolate_mse,5,-0.8346282830775286
heun,residual_rms,extrapolate_mse,5,-0.8346282830773041
heun,best_epoch,extrapolate_mse,5,-0.8318743400547102
heun:ratio=4,best_loss,extrapolate_mse,5,0.9806436755324814
heun:ratio=4,best_loss,final_mse,5,0.9567481749601444
heun:ratio=4,residual_mean_abs,extrapolate_mse,5,0.8131575428786615
heun:ratio=4,residual_l2_norm,extrapolate_mse,5,-0.8346282830775286
heun:ratio=4,residual_rms,extrapolate_mse,5,-0.8346282830773041
heun:ratio=4,best_epoch,extrapolate_mse,5,-0.8318743400547102
rk4,best_loss,extrapolate_mse,5,0.9967755271000142
rk4,best_loss,final_mse,5,0.9987475993758624
rk4,residual_mean_abs,extrapolate_mse,5,0.9292038572486818
rk4,residual_l2_norm,extrapolate_mse,5,-0.8283672698211113
rk4,residual_rms,extrapolate_mse,5,-0.8283672698210645
rk4,best_epoch,extrapolate_mse,5,-0.7207338327471261
rk4:ratio=4,best_loss,extrapolate_mse,5,0.9967755271000142
rk4:ratio=4,best_loss,final_mse,5,0.9987475993758624
rk4:ratio=4,residual_mean_abs,extrapolate_mse,5,0.9292038572486818
rk4:ratio=4,residual_l2_norm,extrapolate_mse,5,-0.8283672698211113
rk4:ratio=4,residual_rms,extrapolate_mse,5,-0.8283672698210645
rk4:ratio=4,best_epoch,extrapolate_mse,5,-0.7207338327471261
