group,x_metric,y_metric,n,correlation
all,best_loss,extrapolate_mse,80,0.23126004665539512
all,validation_mse,extrapolate_mse,80,0.9916453333857685
all,residual_mse,extrapolate_mse,80,0.9363162730953206
all,model_vf_rel_error,extrapolate_mse,80,0.8765811814226072
all,best_loss,residual_mse,80,0.40607067169210903
forward_euler,best_loss,extrapolate_mse,25,0.2716603996192631
forward_euler,validation_mse,extrapolate_mse,25,0.9887427895192928
forward_euler,residual_mse,extrapolate_mse,25,0.9144717399726412
forward_euler,model_vf_rel_error,extrapolate_mse,25,0.8919179642215819
forward_euler,best_loss,residual_mse,25,0.5167960217153286
heun,best_loss,extrapolate_mse,25,0.9868711854042068
heun,validation_mse,extrapolate_mse,25,0.983293257587876
heun,residual_mse,extrapolate_mse,25,0.904507717722952
heun,model_vf_rel_error,extrapolate_mse,25,0.9060219728126023
heun,best_loss,residual_mse,25,0.9023998467605902
rk4,best_loss,extrapolate_mse,25,0.9827391933215208
rk4,validation_mse,extrapolate_mse,25,0.9679699857420974
rk4,residual_mse,extrapolate_mse,25,0.9139781563522331
rk4,model_vf_rel_error,extrapolate_mse,25,0.9078028420812364
rk4,best_loss,residual_mse,25,0.9104814897959317
diffrax_tsit5,best_loss,extrapolate_mse,5,0.9877631942566713
diffrax_tsit5,validation_mse,extrapolate_mse,5,0.9822086265752448
diffrax_tsit5,residual_mse,extrapolate_mse,5,0.9575658232776828
diffrax_tsit5,model_vf_rel_error,extrapolate_mse,5,0.9537423820672377
diffrax_tsit5,best_loss,residual_mse,5,0.9903013572111559
