training_method,ratio,evaluation_protocols,n_runs,seeds,best_loss_mean,best_loss_std,best_loss_min,best_loss_max,best_loss_median,best_loss_range,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,train_mse_median,train_mse_range,validation_mse_mean,validation_mse_std,validation_mse_min,validation_mse_max,validation_mse_median,validation_mse_range,extrapolate_mse_mean,extrapolate_mse_std,extrapolate_mse_min,extrapolate_mse_max,extrapolate_mse_median,extrapolate_mse_range,final_mse_mean,final_mse_std,final_mse_min,final_mse_max,final_mse_median,final_mse_range,residual_mse_mean,residual_mse_std,residual_mse_min,residual_mse_max,residual_mse_median,residual_mse_range,model_vf_rel_error_mean,model_vf_rel_error_std,model_vf_rel_error_min,model_vf_rel_error_max,model_vf_rel_error_median,model_vf_rel_error_range
forward_euler,1,diffrax_eval,5,0;1;2;3;4,0.004167096676425938,0.00144338452704768,0.003474015782098976,0.006747691691160828,0.003524412480625746,0.0032736759090618525,1.7667375201960098,0.006583737779538565,1.755633954672526,1.7721194331390207,1.7676016337482923,0.01648547846649473,1.6043303909009814,0.006892740291718105,1.5975870961582952,1.614864121379777,1.6009504289902492,0.01727702522148178,2.3422808399489314,0.3004577234029425,1.8132708769051682,2.5297157753948287,2.436560582864168,0.7164448984896605,0.6094858287138128,0.22179934978109092,0.2147820203037472,0.7452741628390718,0.6909218320531306,0.5304921425353246,0.19061162606396884,0.04229779247104666,0.15570608394188862,0.26037924041201854,0.1833195189388434,0.10467315647012992,0.02060511123519764,0.002211122206637283,0.01870873042755332,0.024193277344526944,0.020299992650629314,0.005484546916973625
forward_euler,2,diffrax_eval,5,0;1;2;3;4,0.004105307096284218,0.0011581847167731272,0.0032239963913869253,0.005951489242016116,0.003605323880143635,0.002727492850629191,0.4605270720484479,0.00596669513991692,0.45600049872296744,0.4705205025484925,0.45901868490821085,0.01452000382552504,0.42477274253477565,0.01209462216453049,0.41159216381596236,0.44140003951702095,0.4197572471917583,0.029807875701058584,0.6402378277962943,0.10836119501708576,0.5645224471695206,0.8184204416974444,0.5821912386232412,0.25389799452792383,0.13103317727060387,0.05290112201902255,0.07471496473583376,0.21594248126043664,0.12139726143587065,0.14122751652460286,0.08436027399650776,0.009826639472601642,0.07463178764317323,0.10089939961230161,0.0815523825770675,0.026267611969128385,0.013753015162871016,0.0007831683955306039,0.012952495449774715,0.015060376089168166,0.013539725292198797,0.002107880639393451
forward_euler,4,diffrax_eval,5,0;1;2;3;4,0.003809885930954203,0.0006663256673978561,0.003025413813414451,0.004620314487464499,0.003955965495588682,0.0015949006740500478,0.11735612948196543,0.0014825057322502568,0.11580243304602551,0.11901769740654745,0.11777568526943448,0.003215264360521941,0.11116099190252851,0.003169591313580361,0.1076415680322692,0.114706992751678,0.1115869740912398,0.007065424719408811,0.21988829695119544,0.047278421212658156,0.1404355220861966,0.2615336153984218,0.23390711169816922,0.12109809331222518,0.06225937041911374,0.03363486580896426,0.012417923912519004,0.0985306706891057,0.07481313561964636,0.0861127467765867,0.02943346177220174,0.011313940223651621,0.0159909579664044,0.041993518489547105,0.026881147151090246,0.026002560523142704,0.008008534366021489,0.0015920819850143795,0.00599554638215757,0.009715891545560925,0.00777347892305244,0.003720345163403355
forward_euler,8,diffrax_eval,5,0;1;2;3;4,0.003141691479493553,0.0005658552108484282,0.0028062724741462486,0.0041175395990399365,0.0028156261511019507,0.001311267124893688,0.0300040035866789,0.0007576185275187675,0.02932779368385753,0.031191163767412794,0.02976888905798474,0.001863370083555263,0.028341189865585776,0.0014514635678753596,0.02729298985069859,0.03060029804046792,0.027503634107805517,0.003307308189769327,0.059460085032455146,0.0252797445194607,0.03757812141487075,0.09110895435657708,0.04609262900775097,0.05353083294170633,0.017799512654320736,0.01824804294294559,0.00293997208207837,0.04524079579269341,0.007192412519928936,0.04230082371061504,0.01069757278474073,0.008875591401056808,0.0037072088699214127,0.024192136431099485,0.005310946395595043,0.020484927561178073,0.004583504830167477,0.0019490039655168923,0.0028867890813116977,0.007374433059762923,0.003455234164344485,0.004487643978451225
forward_euler,16,diffrax_eval,5,0;1;2;3;4,0.0032748294645936803,0.0005154390819561369,0.0027295873502036815,0.004085489985493006,0.0032968277275523443,0.0013559026352893246,0.007918159741583866,0.0006653909642958175,0.007374196938696087,0.00899469603820016,0.007580775920942494,0.0016204990995040726,0.007598064544179972,0.0008997233717329151,0.006720948657320579,0.008959156503865178,0.007304499995797785,0.002238207846544599,0.026077682955578323,0.01362515297799645,0.008047627685202157,0.042313698494413104,0.02451433331721729,0.034266070809210944,0.013874172101466891,0.011221452951917444,0.0003259089461173279,0.029752519955115374,0.013693628433174832,0.029426611008998047,0.00831186814609477,0.006702040348018023,0.000983964830680968,0.01739094823765852,0.0064704247965592845,0.016406983406977552,0.00397549576313536,0.0018973477472975636,0.001487240879188101,0.006252492183248234,0.0038138000770570387,0.004765251304060134
heun,1,diffrax_eval,5,0;1;2;3;4,0.0036319161798665607,0.0007460308382618921,0.002734006216541842,0.004324927017277981,0.003909284028726212,0.0015909208007361393,0.001025533758163128,0.0007356262921480434,0.00014415036549465798,0.0016818640876731324,0.0012825478179970227,0.0015377137221784744,0.0005990716321322951,0.0004327111373995686,7.542572522981914e-05,0.0010362640038845301,0.0007575658541380327,0.000960838278654711,0.01136811722387351,0.008251300841056753,0.0024252964387143586,0.0201495085334695,0.013749266801524492,0.017724212094755144,0.011547221619560621,0.00967033819422255,0.0006522357606824728,0.02080042410297985,0.014363134916401161,0.02014818834229738,0.005174289509835965,0.004881065071919163,0.00011885494389187429,0.010717001516695744,0.005484278727615686,0.01059814657280387,0.0028806311075259723,0.0020412656151292713,0.000516892406227723,0.004908266919264016,0.0035111653793385147,0.004391374513036293
heun,2,diffrax_eval,5,0;1;2;3;4,0.003433802055585205,0.000801785839166392,0.002760319884882321,0.004587635960592282,0.0030404489745022947,0.0018273160757099616,0.0008047949490485859,0.0007955053517549576,0.00013659383761249836,0.001950706658244517,0.0004146997332297915,0.0018141128206320186,0.0004843724933030223,0.0005072995794603124,5.8701084743428745e-05,0.0012321386707693093,0.00024107369874165445,0.0011734375860258804,0.009568551245931037,0.009881855781042701,0.0020619984680057984,0.024508633688421204,0.0032639033969558548,0.022446635220415404,0.01041168282046181,0.013159855960722134,0.001068695852488663,0.030889982683682572,0.0023014068317676398,0.029821286831193908,0.0036094046799499692,0.003191520358846933,0.0003332159577676599,0.007177887516714676,0.003701463239434398,0.006844671558947016,0.002517842760789329,0.0014891952201165405,0.0008654747900391021,0.004016889180191799,0.0028845511638441682,0.003151414390152697
heun,4,diffrax_eval,5,0;1;2;3;4,0.003234736238883508,0.0006627640075612053,0.002701003807335577,0.004196091540635502,0.002827212345899689,0.0014950877332999255,0.0006074640031393602,0.0006632245102129757,7.344598639455604e-05,0.0015705057611906206,0.00019830261862718222,0.0014970597747960646,0.0003411493233796323,0.0003841709680102345,3.545698175414172e-05,0.0008953500788630056,9.31735784258852e-05,0.0008598930971088638,0.008054271647101612,0.007798472519610241,0.0020204815602785694,0.020075404380488,0.0035946426929933314,0.01805492282020943,0.007935936000308706,0.008473294790439253,0.0016363705005954016,0.020474334000304732,0.0022833540231588564,0.018837963499709332,0.004325979167551397,0.005566908532054006,0.0002028872600688629,0.012135587492647528,0.0006684044935709508,0.011932700232578666,0.0024483645204099545,0.0021592867897823323,0.0006753344661695355,0.005223022889102466,0.0012257762619982328,0.00454768842293293
heun,8,diffrax_eval,5,0;1;2;3;4,0.0037096670547013396,0.000823027090500773,0.0027142192121142367,0.004610686320073536,0.0033727318361193356,0.0018964671079592997,0.0010805242258862314,0.000818729718264136,8.66059409774293e-05,0.00198674418974167,0.0007477633868400653,0.001900138248764241,0.0006519064391790321,0.0005028450667115206,3.854333368446227e-05,0.0011779701782593792,0.00046833082557866314,0.001139426844574917,0.012925426363084372,0.010836285004866369,0.0019229183593449022,0.026468553653499986,0.008152646726991765,0.024545635294155082,0.014596634487135857,0.013670865879969239,0.0018715940101946401,0.03029548865843187,0.00733312783204529,0.02842389464823723,0.004858159655619624,0.004085525069690812,0.00027003207598821547,0.009987070947160592,0.0040238365549110705,0.009717038871172376,0.0029749815754763222,0.0016086851108894295,0.0007791107628538358,0.004738169510327865,0.0030075419386995147,0.0039590587474740285
heun,16,diffrax_eval,5,0;1;2;3;4,0.0034350186686820773,0.000934831883577579,0.0027217323585703923,0.004610889582498102,0.0027935534612228904,0.0018891572239277095,0.0008090642239145962,0.0009360170990815585,9.390276968645918e-05,0.0019862187281247316,0.00016679958827427128,0.0018923159584382724,0.0004831845920058576,0.0005792464910652831,4.252024584949929e-05,0.0012501171615455402,7.90730809480922e-05,0.001207596915696041,0.010919201288066884,0.011329479984192524,0.001966947742744907,0.0251234143102502,0.003801918320652922,0.023156466567505293,0.01212460093290936,0.014187886125541654,0.0014551170738408019,0.03204973948375901,0.0030215293891994463,0.030594622409918212,0.004077525934877963,0.005335751429990871,0.0002961250394762276,0.012092187459562087,0.0005522195835113297,0.01179606242008586,0.002406338224969812,0.0020541223499333412,0.0008158852692394633,0.005213675076493359,0.0011141596554062607,0.004397789807253895
rk4,1,diffrax_eval,5,0;1;2;3;4,0.003373682617278622,0.0004938392024496076,0.0028332959529364632,0.00405513495469845,0.003153679019202449,0.0012218390017619866,0.0007498468528711995,0.0004911161463157117,0.0002073131931972655,0.0014267010653175483,0.0005265870802396408,0.0012193878721202828,0.000419909574489212,0.00029715332386683627,0.00010874584907795596,0.0008651117658003549,0.00028682523424696947,0.0007563659167223989,0.00862175261449408,0.005394540539671812,0.003173143226869559,0.014556419467259694,0.00579765615956113,0.011383276240390134,0.008347701810403368,0.006848713159671324,0.0013216499921117398,0.016892905736780053,0.004630799177418995,0.015571255744668314,0.005330797595267327,0.004912908830140772,0.0001488897570028529,0.010923670787378102,0.0027422730878473114,0.010774781030375248,0.003045879319373691,0.0018391188233776875,0.0005785274054857193,0.004955367039112806,0.0024828293866069498,0.004376839633627087
