training_solver,ratio,h,search_stage,alpha,loss
forward_euler,1,0.05,global_grid,0.0,511.21773909682327
forward_euler,1,0.05,global_grid,0.0001,483.1169929562762
forward_euler,1,0.05,global_grid,0.0002,455.99578843743075
forward_euler,1,0.05,global_grid,0.00030000000000000003,429.85840754495024
forward_euler,1,0.05,global_grid,0.0004,404.7070327721298
forward_euler,1,0.05,global_grid,0.0005,380.54151139046905
forward_euler,1,0.05,global_grid,0.0006000000000000001,357.3591639790256
forward_euler,1,0.05,global_grid,0.0007,335.1546452591619
forward_euler,1,0.05,global_grid,0.0008,313.919863079333
forward_euler,1,0.05,global_grid,0.0009000000000000001,293.6439587202268
forward_euler,1,0.05,global_grid,0.001,274.3133487902148
forward_euler,1,0.05,global_grid,0.0011,255.91182610666212
forward_euler,1,0.05,global_grid,0.0012000000000000001,238.4207143525193
forward_euler,1,0.05,global_grid,0.0013000000000000002,221.81906916078623
forward_euler,1,0.05,global_grid,0.0014,206.0839167483099
forward_euler,1,0.05,global_grid,0.0015,191.1905203557457
forward_euler,1,0.05,global_grid,0.0016,177.11266453912333
forward_euler,1,0.05,global_grid,0.0017000000000000001,163.82294772550776
forward_euler,1,0.05,global_grid,0.0018000000000000002,151.29307427372177
forward_euler,1,0.05,global_grid,0.0019,139.49413843342393
forward_euler,1,0.05,global_grid,0.002,128.39689393384944
forward_euler,1,0.05,global_grid,0.0021000000000000003,117.9720043337581
forward_euler,1,0.05,global_grid,0.0022,108.19027062737565
forward_euler,1,0.05,global_grid,0.0023,99.02283385619535
forward_euler,1,0.05,global_grid,0.0024000000000000002,90.44135157938958
forward_euler,1,0.05,global_grid,0.0025,82.41814798551376
forward_euler,1,0.05,global_grid,0.0026000000000000003,74.92633818219072
forward_euler,1,0.05,global_grid,0.0027,67.93992778777242
forward_euler,1,0.05,global_grid,0.0028,61.43388938589551
forward_euler,1,0.05,global_grid,0.0029000000000000002,55.38421771000719
forward_euler,1,0.05,global_grid,0.003,49.76796562035178
forward_euler,1,0.05,global_grid,0.0031000000000000003,44.56326303957009
forward_euler,1,0.05,global_grid,0.0032,39.74932104189173
forward_euler,1,0.05,global_grid,0.0033,35.3064232596854
forward_euler,1,0.05,global_grid,0.0034000000000000002,31.215906692552984
forward_euler,1,0.05,global_grid,0.0035,27.460133889044236
forward_euler,1,0.05,global_grid,0.0036000000000000003,24.022458328763875
forward_euler,1,0.05,global_grid,0.0037,20.88718467120528
forward_euler,1,0.05,global_grid,0.0038,18.03952536408645
forward_euler,1,0.05,global_grid,0.0039000000000000003,15.46555492440436
forward_euler,1,0.05,global_grid,0.004,13.152163025141471
forward_euler,1,0.05,global_grid,0.0041,11.08700734407816
forward_euler,1,0.05,global_grid,0.004200000000000001,9.258466962248145
forward_euler,1,0.05,global_grid,0.0043,7.65559694126277
forward_euler,1,0.05,global_grid,0.0044,6.268084563351689
forward_euler,1,0.05,global_grid,0.0045000000000000005,5.086207587170518
forward_euler,1,0.05,global_grid,0.0046,4.100794757222298
forward_euler,1,0.05,global_grid,0.0047,3.3031887055570865
forward_euler,1,0.05,global_grid,0.0048000000000000004,2.685211301156802
forward_euler,1,0.05,global_grid,0.0049,2.2391314345466355
forward_euler,1,0.05,global_grid,0.005,1.9576351717931202
forward_euler,1,0.05,global_grid,0.0051,1.833798171963404
forward_euler,1,0.05,global_grid,0.005200000000000001,1.8610602339373585
forward_euler,1,0.05,global_grid,0.0053,2.033201820662288
forward_euler,1,0.05,global_grid,0.0054,2.3443223999415372
forward_euler,1,0.05,global_grid,0.0055000000000000005,2.788820439081978
forward_euler,1,0.05,global_grid,0.0056,3.36137489467798
forward_euler,1,0.05,global_grid,0.0057,4.0569280470714375
forward_euler,1,0.05,global_grid,0.0058000000000000005,4.8706695403197315
forward_euler,1,0.05,global_grid,0.0059,5.798021501709108
forward_euler,1,0.05,global_grid,0.006,6.83462462900975
forward_euler,1,0.05,global_grid,0.0061,7.976325148004993
forward_euler,1,0.05,global_grid,0.006200000000000001,9.219162556718869
forward_euler,1,0.05,global_grid,0.0063,10.559358085754225
forward_euler,1,0.05,global_grid,0.0064,11.993303815922847
forward_euler,1,0.05,global_grid,0.006500000000000001,13.51755240469986
forward_euler,1,0.05,global_grid,0.0066,15.128807381882128
forward_euler,1,0.05,global_grid,0.0067,16.823913982168836
forward_euler,1,0.05,global_grid,0.0068000000000000005,18.599850488272327
forward_euler,1,0.05,global_grid,0.006900000000000001,20.453720062725658
forward_euler,1,0.05,global_grid,0.007,22.38274304991133
forward_euler,1,0.05,global_grid,0.0071,24.384249732171597
forward_euler,1,0.05,global_grid,0.007200000000000001,26.455673525326528
forward_euler,1,0.05,global_grid,0.0073,28.59454459970288
forward_euler,1,0.05,global_grid,0.0074,30.79848391301518
forward_euler,1,0.05,global_grid,0.007500000000000001,33.06519764128484
forward_euler,1,0.05,global_grid,0.0076,35.39247199357035
forward_euler,1,0.05,global_grid,0.0077,37.77816839570777
forward_euler,1,0.05,global_grid,0.0078000000000000005,40.22021902762779
forward_euler,1,0.05,global_grid,0.0079,42.71662269819249
forward_euler,1,0.05,global_grid,0.008,45.26544104093436
forward_euler,1,0.05,global_grid,0.0081,47.864795013625965
forward_euler,1,0.05,global_grid,0.0082,50.5128616842836
forward_euler,1,0.05,global_grid,0.0083,53.20787128603432
forward_euler,1,0.05,global_grid,0.008400000000000001,55.94810452324687
forward_euler,1,0.05,global_grid,0.0085,58.73189011145104
forward_euler,1,0.05,global_grid,0.0086,61.55760253383566
forward_euler,1,0.05,global_grid,0.008700000000000001,64.4236599975124
forward_euler,1,0.05,global_grid,0.0088,67.32852257323337
forward_euler,1,0.05,global_grid,0.0089,70.27069050286823
forward_euler,1,0.05,global_grid,0.009000000000000001,73.24870265962417
forward_euler,1,0.05,global_grid,0.0091,76.26113514674743
forward_euler,1,0.05,global_grid,0.0092,79.30660002124327
forward_euler,1,0.05,global_grid,0.009300000000000001,82.38374412997445
forward_euler,1,0.05,global_grid,0.0094,85.4912480463516
forward_euler,1,0.05,global_grid,0.0095,88.62782509667117
forward_euler,1,0.05,global_grid,0.009600000000000001,91.79222046600701
forward_euler,1,0.05,global_grid,0.0097,94.98321037438222
forward_euler,1,0.05,global_grid,0.0098,98.19960131475877
forward_euler,1,0.05,global_grid,0.0099,101.44022934514939
forward_euler,1,0.05,global_grid,0.01,104.7039594278983
forward_euler,1,0.05,global_grid,0.010100000000000001,107.98968480987479
forward_euler,1,0.05,global_grid,0.0102,111.29632643798571
forward_euler,1,0.05,global_grid,0.0103,114.62283240502197
forward_euler,1,0.05,global_grid,0.010400000000000001,117.96817742143213
forward_euler,1,0.05,global_grid,0.0105,121.33136230914238
forward_euler,1,0.05,global_grid,0.0106,124.71141351402692
forward_euler,1,0.05,global_grid,0.010700000000000001,128.10738263407808
forward_euler,1,0.05,global_grid,0.0108,131.51834596072814
forward_euler,1,0.05,global_grid,0.0109,134.94340403114285
forward_euler,1,0.05,global_grid,0.011000000000000001,138.38168118962895
forward_euler,1,0.05,global_grid,0.0111,141.83232515660202
forward_euler,1,0.05,global_grid,0.0112,145.29450660381448
forward_euler,1,0.05,global_grid,0.011300000000000001,148.76741873478178
forward_euler,1,0.05,global_grid,0.0114,152.2502768695478
forward_euler,1,0.05,global_grid,0.0115,155.74231803311025
forward_euler,1,0.05,global_grid,0.011600000000000001,159.2428005469857
forward_euler,1,0.05,global_grid,0.0117,162.7510036235253
forward_euler,1,0.05,global_grid,0.0118,166.26622696271352
forward_euler,1,0.05,global_grid,0.0119,169.78779035127823
forward_euler,1,0.05,global_grid,0.012,173.3150332640253
forward_euler,1,0.05,global_grid,0.012100000000000001,176.84731446738334
forward_euler,1,0.05,global_grid,0.0122,180.3840116251945
forward_euler,1,0.05,global_grid,0.0123,183.9245209068476
forward_euler,1,0.05,global_grid,0.012400000000000001,187.46825659787146
forward_euler,1,0.05,global_grid,0.0125,191.01465071314828
forward_euler,1,0.05,global_grid,0.0126,194.5631526129199
forward_euler,1,0.05,global_grid,0.012700000000000001,198.11322862178324
forward_euler,1,0.05,global_grid,0.0128,201.66436165087154
forward_euler,1,0.05,global_grid,0.0129,205.216050823431
forward_euler,1,0.05,global_grid,0.013000000000000001,208.76781110400353
forward_euler,1,0.05,global_grid,0.0131,212.319172931416
forward_euler,1,0.05,global_grid,0.0132,215.86968185578482
forward_euler,1,0.05,global_grid,0.013300000000000001,219.41889817972498
forward_euler,1,0.05,global_grid,0.0134,222.96639660395255
forward_euler,1,0.05,global_grid,0.0135,226.51176587745567
forward_euler,1,0.05,global_grid,0.013600000000000001,230.05460845239938
forward_euler,1,0.05,global_grid,0.0137,233.5945401439133
forward_euler,1,0.05,global_grid,0.013800000000000002,237.13118979490903
forward_euler,1,0.05,global_grid,0.013900000000000001,240.6641989460432
forward_euler,1,0.05,global_grid,0.014,244.19322151095233
forward_euler,1,0.05,global_grid,0.014100000000000001,247.71792345684966
forward_euler,1,0.05,global_grid,0.0142,251.2379824905755
forward_euler,1,0.05,global_grid,0.0143,254.75308775017737
forward_euler,1,0.05,global_grid,0.014400000000000001,258.2629395020769
forward_euler,1,0.05,global_grid,0.0145,261.76724884388034
forward_euler,1,0.05,global_grid,0.0146,265.2657374128633
forward_euler,1,0.05,global_grid,0.014700000000000001,268.7581371001659
forward_euler,1,0.05,global_grid,0.0148,272.24418977070366
forward_euler,1,0.05,global_grid,0.0149,275.72364698881455
forward_euler,1,0.05,global_grid,0.015000000000000001,279.19626974962654
forward_euler,1,0.05,global_grid,0.0151,282.66182821614177
forward_euler,1,0.05,global_grid,0.0152,286.1201014620137
forward_euler,1,0.05,global_grid,0.015300000000000001,289.5708772199934
forward_euler,1,0.05,global_grid,0.0154,293.0139516360033
forward_euler,1,0.05,global_grid,0.0155,296.4491290288029
forward_euler,1,0.05,global_grid,0.015600000000000001,299.87622165519474
forward_euler,1,0.05,global_grid,0.015700000000000002,303.2950494807211
forward_euler,1,0.05,global_grid,0.0158,306.7054399557867
forward_euler,1,0.05,global_grid,0.0159,310.10722779715104
forward_euler,1,0.05,global_grid,0.016,313.5002547747186
forward_euler,1,0.05,global_grid,0.0161,316.88436950355475
forward_euler,1,0.05,global_grid,0.0162,320.2594272410612
forward_euler,1,0.05,global_grid,0.016300000000000002,323.6252896892193
forward_euler,1,0.05,global_grid,0.0164,326.981824801836
forward_euler,1,0.05,global_grid,0.0165,330.32890659670153
forward_euler,1,0.05,global_grid,0.0166,333.6664149725761
forward_euler,1,0.05,global_grid,0.0167,336.9942355309204
forward_euler,1,0.05,global_grid,0.016800000000000002,340.31225940228614
forward_euler,1,0.05,global_grid,0.016900000000000002,343.62038307727164
forward_euler,1,0.05,global_grid,0.017,346.9185082419609
forward_euler,1,0.05,global_grid,0.0171,350.2065416177529
forward_euler,1,0.05,global_grid,0.0172,353.4843948054903
forward_euler,1,0.05,global_grid,0.0173,356.7519841338028
forward_euler,1,0.05,global_grid,0.017400000000000002,360.00923051156815
forward_euler,1,0.05,global_grid,0.0175,363.2560592844087
forward_euler,1,0.05,global_grid,0.0176,366.4924000951287
