training_config,regularization_profile,parameter,true_value,learned_mean,learned_std,learned_min,learned_max,abs_error_mean,abs_error_std,relative_error_mean,relative_error_std,n_runs
forward_euler_ratio1,none,a,1.0,0.9088134476666291,0.04502768076662321,0.8656846806337211,0.9555258753592569,0.09118655233337081,0.04502768076662321,0.0911865523332796,0.045027680766578176,3
forward_euler_ratio1,none,b,0.05,0.051819935061874996,0.002119504434544799,0.04983241207990408,0.05405047193471366,0.0019316603419389418,0.0019655983763954624,0.038633206838006175,0.039311967527123,3
forward_euler_ratio1,none,r,1.5,1.4882903129412346,0.050180031889728464,1.4584832864399073,1.5462251110764569,0.04252642777640333,0.003311369481501577,0.028350951850916652,0.002207579654332912,3
forward_euler_ratio1,none,z,0.03,0.029401752373238787,0.0006377077335850263,0.028835257093543187,0.030092410711321307,0.0006598547676420879,0.0005388961089971799,0.02199515892066976,0.017963203632640555,3
forward_euler_ratio1,l2_small,a,1.0,0.9084280651634579,0.04675266115928352,0.8627445367932637,0.9561811270307718,0.09157193483654225,0.04675266115928352,0.09157193483645065,0.046752661159236764,3
forward_euler_ratio1,l2_small,b,0.05,0.05198490805513598,0.002156682605196048,0.04982669498402471,0.054140056929226,0.0021004447324528435,0.0019857662826821814,0.042008894648216694,0.039715325652849326,3
forward_euler_ratio1,l2_small,r,1.5,1.487221843535023,0.0535229218587938,1.4491014799663697,1.5484107753049334,0.04505200666826581,0.008068465220318639,0.030034671112157185,0.005378976813542175,3
forward_euler_ratio1,l2_small,z,0.03,0.029491746209180384,0.0006667977544762846,0.028937929774252323,0.030231887373095005,0.0006628453728829512,0.00041600016426663705,0.022094845762028543,0.01386667214175901,3
forward_euler_ratio1,ortho_small,a,1.0,0.9219565941446146,0.05899592300565303,0.8719911172030964,0.9870405453999505,0.07804340585538538,0.05899592300565303,0.07804340585530734,0.05899592300559404,3
forward_euler_ratio1,ortho_small,b,0.05,0.05222724086368222,0.002252511520192986,0.05002630309234494,0.05452800673077995,0.002227240863682219,0.002252511520192986,0.04454481727275348,0.04505023040295872,3
forward_euler_ratio1,ortho_small,r,1.5,1.4785206639517625,0.027654081847176652,1.4590915862581773,1.5101813060470322,0.028266873412925664,0.016070683233965998,0.01884458227527121,0.010713788822636856,3
forward_euler_ratio1,ortho_small,z,0.03,0.02944845402278538,0.0006990840901467078,0.0289697559798761,0.030250701527878385,0.0007186803291335415,0.00041263893338298576,0.02395601097031952,0.013754631112307706,3
forward_euler_ratio1,l2_plus_ortho,a,1.0,0.9216761003422853,0.05978811612883862,0.8700964217985493,0.9872059874403593,0.07832389965771473,0.05978811612883862,0.07832389965763639,0.05978811612877882,3
forward_euler_ratio1,l2_plus_ortho,b,0.05,0.05191755603897208,0.0021917206387929333,0.05003793788602002,0.05432498770243385,0.001917556038972081,0.0021917206387929333,0.0383511207786746,0.043834412774981985,3
forward_euler_ratio1,l2_plus_ortho,r,1.5,1.48127932829049,0.024277192831623634,1.4668522950914518,1.5093081668089519,0.024926116248811397,0.013531833164535757,0.01661741083252985,0.00902122210968449,3
forward_euler_ratio1,l2_plus_ortho,z,0.03,0.029376837224295228,0.0007064911657703615,0.028965633869693287,0.030192613973345817,0.0007515720912686456,0.00048408328032145513,0.025052403041453106,0.016136109343510636,3
forward_euler_ratio2,none,a,1.0,0.9375539281778207,0.018809081990459824,0.9195757330551443,0.9570962214836749,0.062446071822179317,0.018809081990459824,0.062446071822116866,0.018809081990441012,3
forward_euler_ratio2,none,b,0.05,0.0503463851851676,0.00019424941092150447,0.050124065501961385,0.05048329968630384,0.00034638518516759653,0.00019424941092150447,0.006927703703213377,0.00388498821835239,3
forward_euler_ratio2,none,r,1.5,1.5308167258264718,0.015264739927830256,1.514745423239358,1.545121125793358,0.03081672582647192,0.015264739927830256,0.020544483884300916,0.010176493285213386,3
forward_euler_ratio2,none,z,0.03,0.029717547273401996,0.00016741299395136298,0.02953045344464351,0.029853213482339998,0.0002824527265980053,0.00016741299395136298,0.00941509088628634,0.005580433131526084,3
forward_euler_ratio2,l2_small,a,1.0,0.936495950316066,0.017418441156687774,0.9193979333083969,0.9542180418966577,0.06350404968393397,0.017418441156687774,0.06350404968387047,0.01741844115667035,3
forward_euler_ratio2,l2_small,b,0.05,0.05031493787060968,0.0002936031319524258,0.04997602594260142,0.05049193226167571,0.00033092057554206383,0.000265930351093802,0.006618411510708908,0.005318607021769668,3
forward_euler_ratio2,l2_small,r,1.5,1.5318028893139726,0.01793576534646135,1.5143036659037725,1.5501454444460534,0.03180288931397279,0.01793576534646135,0.02120192620930106,0.011957176897632926,3
