training_config,regularization_profile,seed,vf_error_mse,vf_error_mean_norm,vf_error_max_norm
forward_euler_ratio1,none,0,1.3692952039013173,1.0208367128010212,3.091134355237929
forward_euler_ratio1,none,1,2.4603855877344873,1.2844314770270462,3.987023356245841
forward_euler_ratio1,none,2,1.94523181239405,1.1333124523687685,3.7079053196514873
forward_euler_ratio1,l2_small,0,1.6524919028782783,1.1070333561802048,3.3087132375928765
forward_euler_ratio1,l2_small,1,2.7321825626826617,1.3370092377098735,4.220250038759883
forward_euler_ratio1,l2_small,2,1.897652868365999,1.1257097677214196,3.61744613415062
forward_euler_ratio1,ortho_small,0,1.801290420409566,1.147885670187073,3.387442061177971
forward_euler_ratio1,ortho_small,1,2.5316230976068974,1.2970318224896291,4.078330011090092
forward_euler_ratio1,ortho_small,2,2.170458828635496,1.1602703891247517,4.343178402935132
forward_euler_ratio1,l2_plus_ortho,0,1.4790042315077463,1.054139497164235,3.1885919629706208
forward_euler_ratio1,l2_plus_ortho,1,2.4289493683591683,1.2758182321646843,3.9768782393232196
forward_euler_ratio1,l2_plus_ortho,2,2.1612790149510865,1.1566537197155224,4.3394798234235825
forward_euler_ratio2,none,0,0.33170018317869543,0.5067782375825343,1.4782634198834605
forward_euler_ratio2,none,1,0.4055968612772264,0.5286328617783419,1.684097352099264
forward_euler_ratio2,none,2,0.408134088271005,0.5276255529888311,1.6648802861860754
forward_euler_ratio2,l2_small,0,0.3314343287025698,0.5067873759063007,1.4753435974960376
forward_euler_ratio2,l2_small,1,0.3222230443123505,0.4804788207090092,1.5073323547865258
forward_euler_ratio2,l2_small,2,0.3691512094840185,0.5098356981861937,1.5457144121558541
forward_euler_ratio2,ortho_small,0,0.5380574412366785,0.6117451204713849,2.039412971565467
forward_euler_ratio2,ortho_small,1,0.48169939193206524,0.5733022106653416,1.9031344470247027
forward_euler_ratio2,ortho_small,2,0.36352232039538307,0.5099270247216424,1.476089371114191
forward_euler_ratio2,l2_plus_ortho,0,0.5418890763536324,0.6140419196310437,2.038317653155413
forward_euler_ratio2,l2_plus_ortho,1,0.4579172794540355,0.564271433596949,1.823948170593906
forward_euler_ratio2,l2_plus_ortho,2,0.36210317141244064,0.5090855490522048,1.4733654338128053
forward_euler_ratio4,none,0,0.11144296708826777,0.2905437640761053,0.8636020569536069
forward_euler_ratio4,none,1,0.07664421377529919,0.24049626836302,0.6870120095555315
forward_euler_ratio4,none,2,0.11045576196801359,0.28607717691103834,0.9438408016324121
forward_euler_ratio4,l2_small,0,0.10753722773764439,0.2911742594133962,0.7674336784015503
forward_euler_ratio4,l2_small,1,0.07248949449544341,0.2351867653858637,0.6622968934738027
forward_euler_ratio4,l2_small,2,0.1136365289259556,0.28927073893966165,0.9539493884138414
forward_euler_ratio4,ortho_small,0,0.0840257900635674,0.2669259091151162,0.6971663190272328
forward_euler_ratio4,ortho_small,1,0.07642223956701784,0.2503742543647241,0.56747724485081
forward_euler_ratio4,ortho_small,2,0.07779324365554624,0.24762014897718954,0.7393925692428094
forward_euler_ratio4,l2_plus_ortho,0,0.0854293969428729,0.2683512398088605,0.7144913942072951
forward_euler_ratio4,l2_plus_ortho,1,0.07539690795666219,0.2503660454593363,0.5370837878562946
forward_euler_ratio4,l2_plus_ortho,2,0.07709152771134645,0.24689664215584872,0.7507429655133537
forward_euler_ratio8,none,0,0.03542300811215381,0.1568190310440777,0.5369481089191148
forward_euler_ratio8,none,1,0.023148406734702007,0.1362524806806614,0.3021135600548982
forward_euler_ratio8,none,2,0.023577170232068553,0.14308342204026303,0.3244659982250533
forward_euler_ratio8,l2_small,0,0.03552156970539111,0.15719345308397137,0.5380112609329988
forward_euler_ratio8,l2_small,1,0.021951131837995387,0.13288288175409654,0.3191511603143288
forward_euler_ratio8,l2_small,2,0.02223604584943345,0.13743921135868148,0.32927158348477675
forward_euler_ratio8,ortho_small,0,0.03689031827002366,0.15836669068610043,0.5570976402725402
forward_euler_ratio8,ortho_small,1,0.03199552508688939,0.15450345043068253,0.4076014988569539
forward_euler_ratio8,ortho_small,2,0.037516240586839104,0.17162752991510483,0.38750566937625935
forward_euler_ratio8,l2_plus_ortho,0,0.03731109443608815,0.15894958886997365,0.562434586075607
forward_euler_ratio8,l2_plus_ortho,1,0.03148072398494624,0.15533171590355202,0.3752425899301321
forward_euler_ratio8,l2_plus_ortho,2,0.03917021624044161,0.17424040634321714,0.4064585276177556
forward_euler_ratio16,none,0,0.014749564718974947,0.10230887869517558,0.34535874427253405
forward_euler_ratio16,none,1,0.00625400977981869,0.07278334704504415,0.14144490777901256
forward_euler_ratio16,none,2,0.00801671027321459,0.07973948019132113,0.21408818216831857
forward_euler_ratio16,l2_small,0,0.01451896334995268,0.10180355818196368,0.34119194449452234
forward_euler_ratio16,l2_small,1,0.0057719793999098865,0.07013394673504685,0.13195084797357698
forward_euler_ratio16,l2_small,2,0.009618256536680424,0.08660229429396737,0.24425310375505707
forward_euler_ratio16,ortho_small,0,0.0137528964145706,0.09848823422981214,0.3394512909555309
forward_euler_ratio16,ortho_small,1,0.013105660445664306,0.0967649442133786,0.3064505498709602
forward_euler_ratio16,ortho_small,2,0.00901691379790079,0.07937377326676628,0.2547298401968232
forward_euler_ratio16,l2_plus_ortho,0,0.013487056944057725,0.09696666905243558,0.33966737818102694
forward_euler_ratio16,l2_plus_ortho,1,0.0136126540064074,0.09879664087508487,0.3076432779415646
forward_euler_ratio16,l2_plus_ortho,2,0.009483116949343303,0.08045917714103634,0.26775368845583264
heun_ratio1,none,0,0.009074383681866955,0.07721273209220307,0.2910977223514216
heun_ratio1,none,1,0.0027348683897247266,0.048728408936093065,0.09467161921903539
heun_ratio1,none,2,0.004384061105658707,0.05573744190924197,0.15149539998750416
heun_ratio1,l2_small,0,0.00920276623740508,0.07773854532343312,0.3001855309122137
heun_ratio1,l2_small,1,0.0022237682131824965,0.044404890842912895,0.09073583891199805
