group,x_metric,y_metric,n,correlation
all,best_loss,extrapolate_mse,192,0.8198140049311576
all,validation_mse,extrapolate_mse,192,0.9868908594997798
all,parameter_l2_error,model_vf_rel_error,192,0.06791015947044
all,parameter_l2_error,extrapolate_mse,192,0.05008708575570128
all,model_vf_rel_error,extrapolate_mse,192,0.9902807642142286
all,residual_mse,extrapolate_mse,192,0.9545222832675326
forward_euler,best_loss,extrapolate_mse,60,0.8142373437172853
forward_euler,validation_mse,extrapolate_mse,60,0.985580995638378
forward_euler,parameter_l2_error,model_vf_rel_error,60,0.09244073932196034
forward_euler,parameter_l2_error,extrapolate_mse,60,0.06721478323119814
forward_euler,model_vf_rel_error,extrapolate_mse,60,0.9888280777961923
forward_euler,residual_mse,extrapolate_mse,60,0.9473845398672252
heun,best_loss,extrapolate_mse,60,0.0760493231730922
heun,validation_mse,extrapolate_mse,60,0.1839805627137019
heun,parameter_l2_error,model_vf_rel_error,60,0.28813790166256686
heun,parameter_l2_error,extrapolate_mse,60,0.23808280780601854
heun,model_vf_rel_error,extrapolate_mse,60,-0.48235713582566137
heun,residual_mse,extrapolate_mse,60,-0.45702335573263625
rk4,best_loss,extrapolate_mse,60,0.3045699818881693
rk4,validation_mse,extrapolate_mse,60,0.30456427781470347
rk4,parameter_l2_error,model_vf_rel_error,60,0.10739709705141876
rk4,parameter_l2_error,extrapolate_mse,60,0.45161169775542753
rk4,model_vf_rel_error,extrapolate_mse,60,-0.5312415473676901
rk4,residual_mse,extrapolate_mse,60,-0.5235383782145011
diffrax_tsit5,best_loss,extrapolate_mse,12,0.24913062242894252
diffrax_tsit5,validation_mse,extrapolate_mse,12,0.24913062242894257
diffrax_tsit5,parameter_l2_error,model_vf_rel_error,12,0.40279920260780866
diffrax_tsit5,parameter_l2_error,extrapolate_mse,12,0.486484999272027
diffrax_tsit5,model_vf_rel_error,extrapolate_mse,12,-0.27942317077382184
diffrax_tsit5,residual_mse,extrapolate_mse,12,-0.20341998499593383
