experiment_kind,training_config,training_method,ratio,seed,h_model,evaluation_method,noise_level,best_loss,best_epoch,best_stage,train_mse,validation_mse,extrapolate_mse,final_mse,final_l2_error,instability_rate,residual_mse,residual_rel_error,model_vf_mse,model_vf_rel_error,learned_f_physics_a,learned_f_physics_b,learned_f_physics_r,learned_f_physics_z
carrying_solver_sweep,rk4_ratio4,rk4,4,0,0.0125,diffrax_tsit5,0.01,0.002658354466190062,9000,stage 3 | joint training,0.004602124880558195,0.0026583505666534224,0.8871659776200407,0.8974199492152964,5.683935095666617,0.0,0.0027701266982042326,0.042104756951638,0.0027701266982042374,0.0018997673234556816,0.9005533488507624,0.049892855032541546,1.4974374121764555,0.029922524504615123
carrying_solver_sweep,rk4_ratio4,rk4,4,1,0.0125,diffrax_tsit5,0.01,0.0006636408684427525,9500,stage 3 | joint training,0.0024604078371046273,0.0006636452265204994,0.89549454222962,0.9432212966917127,5.827174845574969,0.0,0.0005885288508464519,0.040748047349739566,0.0005885288508464489,0.000875657911320211,0.9324201619635223,0.04989489160519297,1.4994805069094745,0.030009436015309764
carrying_solver_sweep,rk4_ratio4,rk4,4,2,0.0125,diffrax_tsit5,0.01,0.0006898262540929803,14000,stage 3 | joint training,0.0020609268954506765,0.0006898232537665114,0.5882036248894639,0.5843944822454008,4.586741911295471,0.0,0.0012953764341928672,0.05877667895731297,0.0012953764341928657,0.0012991179781992295,0.9338921170181156,0.049973097297141854,1.499181490215068,0.029935446524138393
carrying_solver_sweep,rk4_ratio4,rk4,4,3,0.0125,diffrax_tsit5,0.01,0.0010722516891815278,10500,stage 3 | joint training,0.0030141573467381403,0.0010722564373288426,0.9058803911312142,0.9322130865365034,5.79307095721381,0.0,0.0018039406701054628,0.05226549757774868,0.0018039406701054587,0.0015330690704444204,0.927601226878426,0.050091807483532556,1.498221965821174,0.029989843956160465
carrying_solver_sweep,rk4_ratio4,rk4,4,4,0.0125,diffrax_tsit5,0.01,0.00033397080439555744,11000,stage 3 | joint training,0.0018877768935380338,0.00033397200336423465,0.6113230284670492,0.611703261604064,4.6926876539725395,0.0,0.002648969365239232,0.04298116968588699,0.0026489693652392283,0.0018577576776809314,0.9182091750255332,0.05038771628375397,1.4977490614505302,0.02997349015677135
carrying_solver_sweep,heun_ratio1,heun,1,0,0.05,diffrax_tsit5,0.01,0.0029866945472607886,11300,stage 3 | joint training,0.006096801717764729,0.002087312232461602,0.23415800001602805,0.24117154759234616,2.9465531920066304,0.0,0.004595881374210056,0.045851946804166606,0.004595881374210054,0.002447005819174177,0.8935593488030401,0.05002171810575257,1.4949051326251397,0.029889719691061734
carrying_solver_sweep,heun_ratio1,heun,1,1,0.05,diffrax_tsit5,0.01,0.0012270332801118228,7900,stage 3 | joint training,0.005417492197426185,0.0016476209510832922,0.591435759313886,0.6650358031077671,4.892983641080319,0.0,0.0013854522982762521,0.04572890639629594,0.001385452298276253,0.001343526959898288,0.929021451382844,0.050141178653821915,1.501113445664073,0.0300462724037957
carrying_solver_sweep,heun_ratio1,heun,1,2,0.05,diffrax_tsit5,0.01,0.0006125642234592395,9800,stage 3 | joint training,0.0029052016275159733,0.000758506673414043,0.14045034788970198,0.149190552070305,2.3175115694492185,0.0,0.002211010652624915,0.06595742742614141,0.0022110106526249187,0.0016972507701851114,0.9368319793334445,0.050230827113013125,1.496842459490195,0.02992978078479358
carrying_solver_sweep,heun_ratio1,heun,1,3,0.05,diffrax_tsit5,0.01,0.0010409235032762488,9700,stage 3 | joint training,0.00492987533546008,0.001583124056907369,0.28203063990791866,0.30102001871470746,3.2919174767496027,0.0,0.002374036813132727,0.06049782411842039,0.002374036813132722,0.0017587103582756881,0.9228825229174187,0.04992075813638549,1.495893509603147,0.029930821243936614
carrying_solver_sweep,heun_ratio1,heun,1,4,0.05,diffrax_tsit5,0.01,0.0005322865671064916,6100,stage 3 | joint training,0.0029999388921412603,0.0006581554950079105,0.17770212301104274,0.18058686119115697,2.549730770666121,0.0,0.005267939684211375,0.05793446383227647,0.0052679396842113735,0.002619817228487251,0.9191095023508503,0.05049802573155267,1.4952229737351865,0.029917050677762756
