train_interval,seed,candidate_index,y0_prey,y0_predator,coverage_fraction_h10,coverage_group_h10,extrap_mse_h2p5,extrap_mse_h5,extrap_mse_h10
1.25,0,0,12.0,35.0,0.5049999952316284,partial,0.00018239255921560218,0.11294486884713172,0.164426173726182
1.25,0,1,25.0,12.0,0.4899999797344208,partial,0.0008396836255543666,0.0007568305639568769,0.0009722269505316847
1.25,0,2,32.0,28.0,0.03999999910593033,uncovered,0.00012912790398732262,0.00021755277823901718,0.0006172852761824362
1.25,0,3,7.0,35.0,0.5399999618530273,partial,6.162542376164035e-05,0.6977234977889215,0.5212887130346063
1.25,0,4,18.0,22.0,0.6549999713897705,partial,0.0004976092286967508,0.004851465096440042,0.005625332066526145
1.25,0,5,14.0,30.0,0.574999988079071,partial,0.0001301688473145628,0.039568606576005576,0.05296105275018473
1.25,0,6,28.0,18.0,0.04999999701976776,uncovered,0.00022336907152959812,0.0002468051056721245,0.0006778720082174316
1.25,0,7,10.0,40.0,0.5550000071525574,partial,0.0001369573498608772,0.30513135299623456,0.35363063761052455
1.25,0,8,22.0,38.0,0.6599999666213989,partial,7.47150891015419e-05,0.008325049105145574,0.010031318759429197
1.25,0,9,16.0,12.0,0.574999988079071,partial,0.009985277572385357,0.02198425815500023,0.02705563086436344
1.25,0,10,30.0,32.0,0.28999999165534973,partial,8.208810506979556e-05,0.00022898275731872224,0.0004801632500160308
1.25,0,11,8.0,28.0,0.5299999713897705,partial,0.00018027172397977288,0.341130680183108,0.516978589869534
1.25,0,12,2.0,8.0,0.4050000011920929,partial,0.0004508094118414956,20.647976738889717,11.144026065967664
1.25,0,13,48.0,48.0,0.699999988079071,partial,1.5966671717863877e-05,0.002959199097008696,0.0033428807166278243
1.25,0,14,6.0,50.0,0.5600000023841858,partial,2.2715073636367727e-05,1.3392621390500028,1.5231244443650687
1.25,0,15,50.0,8.0,0.1599999964237213,uncovered,0.0002948492777587209,0.00023295499501275733,0.000579179124406775
1.25,0,16,4.0,45.0,0.550000011920929,partial,0.00022222893517300066,0.9088869117903134,3.003734189598938
1.25,0,17,45.0,4.0,0.5949999690055847,partial,0.04060140385504814,0.02291800467435655,0.02981229821204031
1.25,0,18,3.0,15.0,0.4699999988079071,partial,6.125170331306472e-05,5.054704051098067,3.1675215764118496
1.25,0,19,42.0,42.0,0.550000011920929,partial,2.2603115730516137e-05,0.0006186205955852912,0.0007546828073162203
